# FTRANSFER.CLOCKS.01 frozen data interface (a): g_*rho(T), g_*s(T)
# Source (named in the preregistration): K. Saikawa & S. Shirai,
#   'Primordial gravitational waves, precisely: the role of thermodynamics
#   in the Standard Model', JCAP 05 (2018) 035, arXiv:1803.01038,
#   Appendix A tabulated data, file standardmodel2018.dat,
#   https://member.ipmu.jp/satoshi.shirai/EOS2018 (retrieved 2026-08-05).
# Full source file sha256: 268a51b869198b13aef052185323e0b0015f78f4a0902f19a79e71d1017dfaad
# Curation rule (deterministic): data rows subsampled every 20th row of the
#   10000-row log(T)-spaced source table, plus the final row (501 rows).
#   Values are copied verbatim (no reformatting, no interpolation).
# Columns: T_GeV,gstar_rho,gstar_rho_err,gstar_s,gstar_s_err
555.67677,104.15094,2.1220314,104.14237,2.0731571
616.91384,104.15401,2.0539437,104.14701,2.0070809
684.89939,104.15792,1.9893638,104.152,1.9444103
760.37714,104.16181,1.926493,104.15664,1.883353
844.17274,104.16618,1.867234,104.1615,1.8258172
937.20283,104.17027,1.8095866,104.16595,1.7698082
1040.4851,104.17431,1.7545839,104.17022,1.716364
1155.1493,104.17913,1.7017096,104.17521,1.6649727
1282.4499,104.18323,1.6509236,104.17942,1.6155987
1423.7793,104.18749,1.6022367,104.18375,1.5682568
1580.6836,104.19201,1.5555407,104.18832,1.5228426
1754.8791,104.1968,1.5106597,104.19313,1.4791836
1948.2715,104.20132,1.4672793,104.19767,1.4369689
2162.9763,104.20561,1.4257147,104.20196,1.3965165
2401.342,104.21027,1.3855403,104.20662,1.3574039
2665.9764,104.21501,1.346466,104.21134,1.3193437
2959.7741,104.21966,1.3095186,104.21598,1.2833652
3285.9491,104.22427,1.2736826,104.22058,1.2484553
3648.0695,104.22874,1.2390783,104.22503,1.2147365
4050.0965,104.23394,1.205725,104.23021,1.1822302
4496.428,104.23862,1.1739577,104.23487,1.1512735
4991.9464,104.24297,1.1426521,104.2392,1.1207439
5542.0723,104.24791,1.1127215,104.24412,1.0915563
6152.8235,104.25294,1.0837301,104.24913,1.0632768
6830.8811,104.25763,1.0561038,104.2538,1.0363327
7583.6624,104.26273,1.0290973,104.25888,1.0099803
8419.4023,104.26787,1.0031163,104.26401,0.98462661
9347.243,104.27243,0.9776721,104.26854,0.95978409
10377.334,104.27754,0.9537419,104.27364,0.93643138
11520.944,104.28226,0.93018323,104.27834,0.91342708
12790.583,104.28727,0.9074877,104.28333,0.89126391
14200.14,104.29221,0.88548967,104.28826,0.86977724
15765.033,104.29739,0.86380182,104.29342,0.8485808
17502.382,104.30256,0.8431021,104.29858,0.82835343
19431.191,104.30752,0.82318234,104.30353,0.80888782
21572.56,104.31246,0.80422518,104.30846,0.7903675
23949.914,104.31718,0.78511692,104.31317,0.77167948
26589.259,104.32271,0.76686164,104.31869,0.75382863
29519.467,104.328,0.74933653,104.32397,0.73669286
32772.591,104.33279,0.73236399,104.32875,0.72009524
36384.218,104.33783,0.71565586,104.33379,0.7037482
40393.856,104.34289,0.69992295,104.33884,0.68836321
44845.367,104.34789,0.68425498,104.34384,0.6730305
49787.447,104.35328,0.66884491,104.34922,0.65794367
55274.157,104.35841,0.65430496,104.35434,0.64371537
61365.517,104.36349,0.639815,104.35942,0.62952598
68128.161,104.36871,0.62617637,104.36464,0.61617735
75636.067,104.37386,0.61263704,104.36978,0.60291788
83971.364,104.37845,0.59959254,104.37437,0.5901435
93225.233,104.38359,0.58705263,104.37951,0.57786434
103498.9,104.38867,0.57452616,104.3846,0.56558973
114904.76,104.39408,0.56278795,104.39,0.55409479
127567.57,104.39947,0.55096461,104.3954,0.5425065
