# FTRANSFER.CLOCKS.01 frozen data interface (b): alpha_s(Q) reference running
# Source: PDG 2024 (S. Navas et al., Particle Data Group), Prog. Theor. Exp.
#   Phys. 2024, 083C01: world average alpha_s(M_Z) = 0.1180 +- 0.0009 (QCD
#   review Sec. 9.4.4); 4-loop MS-bar beta function coefficients b0..b3 (QCD
#   review Eq. (9.5)); M_Z = 91.1880 GeV; top pole mass m_t = 172.57 GeV.
# Construction (deterministic; this is the PDG-quoted running curve that
#   underlies the world-summary alpha_s(Q) overlay, PDG 2024 Fig. 9.5):
#   4-loop RGE integrated with fixed-step classical RK4 (4000 steps/leg) in
#   ln Q; n_f = 5 from M_Z to m_t, 5->6 matching by CONTINUITY at m_t (the
#   prescription frozen in the preregistration), n_f = 6 from m_t to 1 TeV.
#   alpha_lo/alpha_hi propagate alpha_s(M_Z) = 0.1171 / 0.1189 identically.
# Columns: Q_GeV,alpha_s,alpha_s_lo,alpha_s_hi
619.423301,0.09297471,0.09241981,0.09352769
627.719561,0.09284326,0.09228994,0.09339465
636.126937,0.09271219,0.09216045,0.09326200
644.646917,0.09258149,0.09203132,0.09312973
653.281010,0.09245116,0.09190256,0.09299783
662.030744,0.09232121,0.09177416,0.09286632
670.897667,0.09219163,0.09164613,0.09273518
679.883350,0.09206241,0.09151846,0.09260442
688.989383,0.09193356,0.09139114,0.09247403
698.217378,0.09180508,0.09126419,0.09234401
707.568968,0.09167696,0.09113759,0.09221436
717.045808,0.09154920,0.09101135,0.09208508
726.649578,0.09142180,0.09088546,0.09195617
736.381975,0.09129476,0.09075993,0.09182762
746.244723,0.09116807,0.09063474,0.09169943
756.239569,0.09104175,0.09050990,0.09157161
766.368280,0.09091577,0.09038542,0.09144415
776.632651,0.09079015,0.09026128,0.09131705
787.034498,0.09066488,0.09013748,0.09119030
797.575662,0.09053996,0.09001403,0.09106391
808.258009,0.09041539,0.08989091,0.09093787
819.083431,0.09029117,0.08976814,0.09081219
830.053843,0.09016729,0.08964571,0.09068686
841.171188,0.09004375,0.08952362,0.09056188
852.437433,0.08992056,0.08940186,0.09043725
863.854573,0.08979771,0.08928044,0.09031296
875.424629,0.08967519,0.08915935,0.09018902
887.149648,0.08955302,0.08903860,0.09006543
899.031707,0.08943118,0.08891817,0.08994217
911.072908,0.08930968,0.08879807,0.08981926
923.275383,0.08918851,0.08867831,0.08969669
935.641293,0.08906767,0.08855887,0.08957445
948.172825,0.08894717,0.08843975,0.08945256
960.872199,0.08882699,0.08832096,0.08933100
973.741662,0.08870714,0.08820249,0.08920977
986.783493,0.08858763,0.08808434,0.08908887
1000.000000,0.08846843,0.08796651,0.08896831
