run,source,family,offsets_from_p,selection_mse,selected
primary,planted,nonlinear,"1,3",0.756322370980941,False
primary,planted,nonlinear,"1,4",0.7557529438318724,False
primary,planted,nonlinear,"1,5",0.7551351026064629,False
primary,planted,nonlinear,"1,6",0.7554277646028227,False
primary,planted,nonlinear,"1,7",0.7573940370531254,False
primary,planted,nonlinear,"2,3",0.7083868756453603,False
primary,planted,nonlinear,"2,4",0.7569232244509482,False
primary,planted,nonlinear,"2,5",0.7564247067018564,False
primary,planted,nonlinear,"2,6",0.7561064292508903,False
primary,planted,nonlinear,"2,7",0.7570421651676661,False
primary,planted,nonlinear,"3,4",0.756279493300798,False
primary,planted,nonlinear,"3,5",0.7559611085783077,False
primary,planted,nonlinear,"3,6",0.7546797835903287,False
primary,planted,nonlinear,"3,7",0.7564674196480083,False
primary,planted,nonlinear,"4,5",0.7331534022856859,False
primary,planted,nonlinear,"4,6",0.7577935573473609,False
primary,planted,nonlinear,"4,7",0.755281828999719,False
primary,planted,nonlinear,"5,6",0.755934986874229,False
primary,planted,nonlinear,"5,7",0.7556867350500418,False
primary,planted,nonlinear,"6,7",0.7234483356328671,False
primary,planted,nonlinear,"0,1,2",0.4010401927291308,False
primary,planted,nonlinear,"1,2,3",0.7365928426238431,False
primary,planted,nonlinear,"2,3,4",0.7360869159109034,False
primary,planted,nonlinear,"3,4,5",0.7461090370704739,False
primary,planted,nonlinear,"4,5,6",0.7455612943727492,False
primary,planted,nonlinear,"5,6,7",0.7424894722555476,False
post_outcome_sensitivity,pi,single,none,0.7208107093185632,False
post_outcome_sensitivity,pi,single,0,0.721078436130128,False
post_outcome_sensitivity,pi,single,1,0.7218587329725509,False
post_outcome_sensitivity,pi,single,2,0.7212631559979187,False
post_outcome_sensitivity,pi,single,3,0.7219467060260456,False
post_outcome_sensitivity,pi,single,4,0.721100409346246,False
post_outcome_sensitivity,pi,single,5,0.7208511886158231,False
post_outcome_sensitivity,pi,single,6,0.7216933516962699,False
post_outcome_sensitivity,pi,single,7,0.7206904692508335,True
post_outcome_sensitivity,pi,nonlinear,none,0.7208107093185632,True
post_outcome_sensitivity,pi,nonlinear,"0,1",0.7236038438598354,False
post_outcome_sensitivity,pi,nonlinear,"0,2",0.7231809083783824,False
post_outcome_sensitivity,pi,nonlinear,"0,3",0.7237929984711234,False
post_outcome_sensitivity,pi,nonlinear,"0,4",0.725409914368852,False
post_outcome_sensitivity,pi,nonlinear,"0,5",0.722964229647783,False
post_outcome_sensitivity,pi,nonlinear,"0,6",0.7243184869935237,False
post_outcome_sensitivity,pi,nonlinear,"0,7",0.7229458179531735,False
post_outcome_sensitivity,pi,nonlinear,"1,2",0.7233465053045415,False
post_outcome_sensitivity,pi,nonlinear,"1,3",0.7249155320866499,False
post_outcome_sensitivity,pi,nonlinear,"1,4",0.7237739512817711,False
post_outcome_sensitivity,pi,nonlinear,"1,5",0.7234941468837184,False
post_outcome_sensitivity,pi,nonlinear,"1,6",0.7256756544799186,False
post_outcome_sensitivity,pi,nonlinear,"1,7",0.7265580346572954,False
post_outcome_sensitivity,pi,nonlinear,"2,3",0.7241135423667686,False
post_outcome_sensitivity,pi,nonlinear,"2,4",0.7232487049113197,False
post_outcome_sensitivity,pi,nonlinear,"2,5",0.7218576466387128,False
post_outcome_sensitivity,pi,nonlinear,"2,6",0.7250439917255059,False
post_outcome_sensitivity,pi,nonlinear,"2,7",0.7232548852362007,False
post_outcome_sensitivity,pi,nonlinear,"3,4",0.7237357434915918,False
post_outcome_sensitivity,pi,nonlinear,"3,5",0.7236851265994706,False
post_outcome_sensitivity,pi,nonlinear,"3,6",0.7240096022193208,False
post_outcome_sensitivity,pi,nonlinear,"3,7",0.7229686742031154,False
post_outcome_sensitivity,pi,nonlinear,"4,5",0.7234783716281179,False
post_outcome_sensitivity,pi,nonlinear,"4,6",0.7227088318784346,False
post_outcome_sensitivity,pi,nonlinear,"4,7",0.7234929206511838,False
post_outcome_sensitivity,pi,nonlinear,"5,6",0.7240025509330916,False
post_outcome_sensitivity,pi,nonlinear,"5,7",0.7236065658969584,False
post_outcome_sensitivity,pi,nonlinear,"6,7",0.7221638509785706,False
post_outcome_sensitivity,pi,nonlinear,"0,1,2",0.7218289874782002,False
post_outcome_sensitivity,pi,nonlinear,"1,2,3",0.7228017214012779,False
post_outcome_sensitivity,pi,nonlinear,"2,3,4",0.7229294055590627,False
post_outcome_sensitivity,pi,nonlinear,"3,4,5",0.7230333086967022,False
post_outcome_sensitivity,pi,nonlinear,"4,5,6",0.7237993629189287,False
post_outcome_sensitivity,pi,nonlinear,"5,6,7",0.7232210819534474,False
post_outcome_sensitivity,e,single,none,0.7208107093185632,False
post_outcome_sensitivity,e,single,0,0.7218754198165552,False
post_outcome_sensitivity,e,single,1,0.7209958139100322,False
post_outcome_sensitivity,e,single,2,0.721518774641841,False
post_outcome_sensitivity,e,single,3,0.7212343081042284,False
post_outcome_sensitivity,e,single,4,0.7215187757611005,False
post_outcome_sensitivity,e,single,5,0.7223454599707455,False
post_outcome_sensitivity,e,single,6,0.7216062888531904,False
post_outcome_sensitivity,e,single,7,0.7207554339671148,True
post_outcome_sensitivity,e,nonlinear,none,0.7208107093185632,True
post_outcome_sensitivity,e,nonlinear,"0,1",0.7233125444692824,False
post_outcome_sensitivity,e,nonlinear,"0,2",0.7250313971188059,False
post_outcome_sensitivity,e,nonlinear,"0,3",0.7246769856020471,False
post_outcome_sensitivity,e,nonlinear,"0,4",0.7231933729076967,False
post_outcome_sensitivity,e,nonlinear,"0,5",0.7249984137105712,False
post_outcome_sensitivity,e,nonlinear,"0,6",0.7253212275914013,False
post_outcome_sensitivity,e,nonlinear,"0,7",0.7224406987870196,False
post_outcome_sensitivity,e,nonlinear,"1,2",0.7220283344242137,False
post_outcome_sensitivity,e,nonlinear,"1,3",0.7235950709365254,False
post_outcome_sensitivity,e,nonlinear,"1,4",0.722814571152981,False
post_outcome_sensitivity,e,nonlinear,"1,5",0.7242464773672117,False
post_outcome_sensitivity,e,nonlinear,"1,6",0.7241123157698862,False
post_outcome_sensitivity,e,nonlinear,"1,7",0.7236425028826202,False
post_outcome_sensitivity,e,nonlinear,"2,3",0.7247332699885953,False
post_outcome_sensitivity,e,nonlinear,"2,4",0.7238678655476023,False
post_outcome_sensitivity,e,nonlinear,"2,5",0.7247252527915332,False
post_outcome_sensitivity,e,nonlinear,"2,6",0.723651929345012,False
post_outcome_sensitivity,e,nonlinear,"2,7",0.7261208227856268,False
